period|nome|value|id
Data|Massa de rend. de todos os trabalhos hab. mensal||1347352672
Massa de rend. de todos os trabalhos hab. mensal|Massa de rend. de todos os trabalhos hab. mensal||1347352672
2012.03|Massa de rend. de todos os trabalhos hab. mensal|121.454|1347352672
2012.04|Massa de rend. de todos os trabalhos hab. mensal|123.398|1347352672
2012.05|Massa de rend. de todos os trabalhos hab. mensal|123.825|1347352672
2012.06|Massa de rend. de todos os trabalhos hab. mensal|124.725|1347352672
2012.07|Massa de rend. de todos os trabalhos hab. mensal|125.792|1347352672
2012.08|Massa de rend. de todos os trabalhos hab. mensal|126.913|1347352672
2012.09|Massa de rend. de todos os trabalhos hab. mensal|127.746|1347352672
2012.10|Massa de rend. de todos os trabalhos hab. mensal|128.548|1347352672
2012.11|Massa de rend. de todos os trabalhos hab. mensal|129.462|1347352672
2012.12|Massa de rend. de todos os trabalhos hab. mensal|130.105|1347352672
2013.01|Massa de rend. de todos os trabalhos hab. mensal|131.077|1347352672
2013.02|Massa de rend. de todos os trabalhos hab. mensal|132.424|1347352672
2013.03|Massa de rend. de todos os trabalhos hab. mensal|133.789|1347352672
2013.04|Massa de rend. de todos os trabalhos hab. mensal|135.525|1347352672
2013.05|Massa de rend. de todos os trabalhos hab. mensal|136.897|1347352672
2013.06|Massa de rend. de todos os trabalhos hab. mensal|138.981|1347352672
2013.07|Massa de rend. de todos os trabalhos hab. mensal|140.689|1347352672
2013.08|Massa de rend. de todos os trabalhos hab. mensal|142.142|1347352672
2013.09|Massa de rend. de todos os trabalhos hab. mensal|142.809|1347352672
2013.10|Massa de rend. de todos os trabalhos hab. mensal|143.990|1347352672
2013.11|Massa de rend. de todos os trabalhos hab. mensal|144.744|1347352672
2013.12|Massa de rend. de todos os trabalhos hab. mensal|144.838|1347352672
2014.01|Massa de rend. de todos os trabalhos hab. mensal|145.194|1347352672
2014.02|Massa de rend. de todos os trabalhos hab. mensal|147.520|1347352672
2014.03|Massa de rend. de todos os trabalhos hab. mensal|149.972|1347352672
2014.04|Massa de rend. de todos os trabalhos hab. mensal|151.609|1347352672
2014.05|Massa de rend. de todos os trabalhos hab. mensal|152.993|1347352672
2014.06|Massa de rend. de todos os trabalhos hab. mensal|153.415|1347352672
2014.07|Massa de rend. de todos os trabalhos hab. mensal|153.460|1347352672
2014.08|Massa de rend. de todos os trabalhos hab. mensal|154.783|1347352672
2014.09|Massa de rend. de todos os trabalhos hab. mensal|156.380|1347352672
2014.10|Massa de rend. de todos os trabalhos hab. mensal|158.237|1347352672
2014.11|Massa de rend. de todos os trabalhos hab. mensal|158.308|1347352672
2014.12|Massa de rend. de todos os trabalhos hab. mensal|159.577|1347352672
2015.01|Massa de rend. de todos os trabalhos hab. mensal|160.843|1347352672
2015.02|Massa de rend. de todos os trabalhos hab. mensal|161.481|1347352672
2015.03|Massa de rend. de todos os trabalhos hab. mensal|163.009|1347352672
2015.04|Massa de rend. de todos os trabalhos hab. mensal|164.669|1347352672
2015.05|Massa de rend. de todos os trabalhos hab. mensal|165.314|1347352672
2015.06|Massa de rend. de todos os trabalhos hab. mensal|167.030|1347352672
2015.07|Massa de rend. de todos os trabalhos hab. mensal|166.981|1347352672
2015.08|Massa de rend. de todos os trabalhos hab. mensal|167.049|1347352672
2015.09|Massa de rend. de todos os trabalhos hab. mensal|167.815|1347352672
2015.10|Massa de rend. de todos os trabalhos hab. mensal|168.475|1347352672
2015.11|Massa de rend. de todos os trabalhos hab. mensal|168.500|1347352672
2015.12|Massa de rend. de todos os trabalhos hab. mensal|169.632|1347352672
2016.01|Massa de rend. de todos os trabalhos hab. mensal|170.803|1347352672
2016.02|Massa de rend. de todos os trabalhos hab. mensal|170.641|1347352672
2016.03|Massa de rend. de todos os trabalhos hab. mensal|172.774|1347352672
2016.04|Massa de rend. de todos os trabalhos hab. mensal|172.652|1347352672
2016.05|Massa de rend. de todos os trabalhos hab. mensal|174.918|1347352672
2016.06|Massa de rend. de todos os trabalhos hab. mensal|174.001|1347352672
2016.07|Massa de rend. de todos os trabalhos hab. mensal|174.690|1347352672
2016.08|Massa de rend. de todos os trabalhos hab. mensal|176.343|1347352672
2016.09|Massa de rend. de todos os trabalhos hab. mensal|176.150|1347352672
2016.10|Massa de rend. de todos os trabalhos hab. mensal|177.041|1347352672
2016.11|Massa de rend. de todos os trabalhos hab. mensal|178.218|1347352672
2016.12|Massa de rend. de todos os trabalhos hab. mensal|179.638|1347352672
2017.01|Massa de rend. de todos os trabalhos hab. mensal|179.879|1347352672
2017.02|Massa de rend. de todos os trabalhos hab. mensal|179.863|1347352672
2017.03|Massa de rend. de todos os trabalhos hab. mensal|180.653|1347352672
2017.04|Massa de rend. de todos os trabalhos hab. mensal|180.912|1347352672
2017.05|Massa de rend. de todos os trabalhos hab. mensal|182.045|1347352672
2017.06|Massa de rend. de todos os trabalhos hab. mensal|182.618|1347352672
2017.07|Massa de rend. de todos os trabalhos hab. mensal|183.669|1347352672
2017.08|Massa de rend. de todos os trabalhos hab. mensal|184.316|1347352672
2017.09|Massa de rend. de todos os trabalhos hab. mensal|186.101|1347352672
2017.10|Massa de rend. de todos os trabalhos hab. mensal|187.769|1347352672
2017.11|Massa de rend. de todos os trabalhos hab. mensal|189.846|1347352672
2017.12|Massa de rend. de todos os trabalhos hab. mensal|190.941|1347352672
2018.01|Massa de rend. de todos os trabalhos hab. mensal|191.414|1347352672
2018.02|Massa de rend. de todos os trabalhos hab. mensal|191.679|1347352672
2018.03|Massa de rend. de todos os trabalhos hab. mensal|191.015|1347352672
2018.04|Massa de rend. de todos os trabalhos hab. mensal|192.547|1347352672
2018.05|Massa de rend. de todos os trabalhos hab. mensal|193.448|1347352672
2018.06|Massa de rend. de todos os trabalhos hab. mensal|195.212|1347352672
2018.07|Massa de rend. de todos os trabalhos hab. mensal|196.770|1347352672
2018.08|Massa de rend. de todos os trabalhos hab. mensal|199.438|1347352672
2018.09|Massa de rend. de todos os trabalhos hab. mensal|200.265|1347352672
2018.10|Massa de rend. de todos os trabalhos hab. mensal|201.564|1347352672
2018.11|Massa de rend. de todos os trabalhos hab. mensal|203.039|1347352672
2018.12|Massa de rend. de todos os trabalhos hab. mensal|204.169|1347352672
2019.01|Massa de rend. de todos os trabalhos hab. mensal|204.563|1347352672
2019.02|Massa de rend. de todos os trabalhos hab. mensal|204.944|1347352672
2019.03|Massa de rend. de todos os trabalhos hab. mensal|205.156|1347352672
2019.04|Massa de rend. de todos os trabalhos hab. mensal|206.544|1347352672
2019.05|Massa de rend. de todos os trabalhos hab. mensal|207.294|1347352672
2019.06|Massa de rend. de todos os trabalhos hab. mensal|208.435|1347352672
2019.07|Massa de rend. de todos os trabalhos hab. mensal|208.627|1347352672
2019.08|Massa de rend. de todos os trabalhos hab. mensal|209.893|1347352672
2019.09|Massa de rend. de todos os trabalhos hab. mensal|210.424|1347352672
2019.10|Massa de rend. de todos os trabalhos hab. mensal|212.808|1347352672
2019.11|Massa de rend. de todos os trabalhos hab. mensal|215.104|1347352672
2019.12|Massa de rend. de todos os trabalhos hab. mensal|216.262|1347352672
2020.01|Massa de rend. de todos os trabalhos hab. mensal|217.399|1347352672
2020.02|Massa de rend. de todos os trabalhos hab. mensal|217.631|1347352672
2020.03|Massa de rend. de todos os trabalhos hab. mensal|216.290|1347352672
2020.04|Massa de rend. de todos os trabalhos hab. mensal|211.628|1347352672
2020.05|Massa de rend. de todos os trabalhos hab. mensal|206.623|1347352672
2020.06|Massa de rend. de todos os trabalhos hab. mensal|203.519|1347352672
2020.07|Massa de rend. de todos os trabalhos hab. mensal|203.016|1347352672
2020.08|Massa de rend. de todos os trabalhos hab. mensal|202.478|1347352672
2020.09|Massa de rend. de todos os trabalhos hab. mensal|205.305|1347352672
2020.10|Massa de rend. de todos os trabalhos hab. mensal|207.859|1347352672
2020.11|Massa de rend. de todos os trabalhos hab. mensal|210.049|1347352672
2020.12|Massa de rend. de todos os trabalhos hab. mensal|210.724|1347352672
Data|Massa de rend. real de todos os trabalhos hab. mensal||1347352673
Massa de rend. real de todos os trabalhos hab. mensal|Massa de rend. real de todos os trabalhos hab. mensal||1347352673
2012.03|Massa de rend. real de todos os trabalhos hab. mensal|194.219|1347352673
2012.04|Massa de rend. real de todos os trabalhos hab. mensal|196.487|1347352673
2012.05|Massa de rend. real de todos os trabalhos hab. mensal|196.384|1347352673
2012.06|Massa de rend. real de todos os trabalhos hab. mensal|197.104|1347352673
2012.07|Massa de rend. real de todos os trabalhos hab. mensal|198.200|1347352673
2012.08|Massa de rend. real de todos os trabalhos hab. mensal|199.375|1347352673
2012.09|Massa de rend. real de todos os trabalhos hab. mensal|199.732|1347352673
2012.10|Massa de rend. real de todos os trabalhos hab. mensal|199.942|1347352673
2012.11|Massa de rend. real de todos os trabalhos hab. mensal|200.158|1347352673
2012.12|Massa de rend. real de todos os trabalhos hab. mensal|199.824|1347352673
2013.01|Massa de rend. real de todos os trabalhos hab. mensal|199.820|1347352673
2013.02|Massa de rend. real de todos os trabalhos hab. mensal|200.373|1347352673
2013.03|Massa de rend. real de todos os trabalhos hab. mensal|201.140|1347352673
2013.04|Massa de rend. real de todos os trabalhos hab. mensal|202.660|1347352673
2013.05|Massa de rend. real de todos os trabalhos hab. mensal|203.766|1347352673
2013.06|Massa de rend. real de todos os trabalhos hab. mensal|206.094|1347352673
2013.07|Massa de rend. real de todos os trabalhos hab. mensal|208.202|1347352673
2013.08|Massa de rend. real de todos os trabalhos hab. mensal|209.977|1347352673
2013.09|Massa de rend. real de todos os trabalhos hab. mensal|210.511|1347352673
2013.10|Massa de rend. real de todos os trabalhos hab. mensal|211.402|1347352673
2013.11|Massa de rend. real de todos os trabalhos hab. mensal|211.461|1347352673
2013.12|Massa de rend. real de todos os trabalhos hab. mensal|210.172|1347352673
2014.01|Massa de rend. real de todos os trabalhos hab. mensal|209.304|1347352673
2014.02|Massa de rend. real de todos os trabalhos hab. mensal|211.172|1347352673
2014.03|Massa de rend. real de todos os trabalhos hab. mensal|213.180|1347352673
2014.04|Massa de rend. real de todos os trabalhos hab. mensal|213.902|1347352673
2014.05|Massa de rend. real de todos os trabalhos hab. mensal|214.405|1347352673
2014.06|Massa de rend. real de todos os trabalhos hab. mensal|213.906|1347352673
2014.07|Massa de rend. real de todos os trabalhos hab. mensal|213.345|1347352673
2014.08|Massa de rend. real de todos os trabalhos hab. mensal|214.701|1347352673
2014.09|Massa de rend. real de todos os trabalhos hab. mensal|216.300|1347352673
2014.10|Massa de rend. real de todos os trabalhos hab. mensal|217.961|1347352673
2014.11|Massa de rend. real de todos os trabalhos hab. mensal|216.968|1347352673
2014.12|Massa de rend. real de todos os trabalhos hab. mensal|217.469|1347352673
2015.01|Massa de rend. real de todos os trabalhos hab. mensal|217.369|1347352673
2015.02|Massa de rend. real de todos os trabalhos hab. mensal|215.913|1347352673
2015.03|Massa de rend. real de todos os trabalhos hab. mensal|215.268|1347352673
2015.04|Massa de rend. real de todos os trabalhos hab. mensal|215.130|1347352673
2015.05|Massa de rend. real de todos os trabalhos hab. mensal|213.997|1347352673
2015.06|Massa de rend. real de todos os trabalhos hab. mensal|214.607|1347352673
2015.07|Massa de rend. real de todos os trabalhos hab. mensal|213.009|1347352673
2015.08|Massa de rend. real de todos os trabalhos hab. mensal|211.927|1347352673
2015.09|Massa de rend. real de todos os trabalhos hab. mensal|211.924|1347352673
2015.10|Massa de rend. real de todos os trabalhos hab. mensal|211.625|1347352673
2015.11|Massa de rend. real de todos os trabalhos hab. mensal|209.976|1347352673
2015.12|Massa de rend. real de todos os trabalhos hab. mensal|209.423|1347352673
2016.01|Massa de rend. real de todos os trabalhos hab. mensal|208.630|1347352673
2016.02|Massa de rend. real de todos os trabalhos hab. mensal|206.291|1347352673
2016.03|Massa de rend. real de todos os trabalhos hab. mensal|207.092|1347352673
2016.04|Massa de rend. real de todos os trabalhos hab. mensal|205.606|1347352673
2016.05|Massa de rend. real de todos os trabalhos hab. mensal|207.045|1347352673
2016.06|Massa de rend. real de todos os trabalhos hab. mensal|204.757|1347352673
2016.07|Massa de rend. real de todos os trabalhos hab. mensal|204.451|1347352673
2016.08|Massa de rend. real de todos os trabalhos hab. mensal|205.516|1347352673
2016.09|Massa de rend. real de todos os trabalhos hab. mensal|204.589|1347352673
2016.10|Massa de rend. real de todos os trabalhos hab. mensal|205.085|1347352673
2016.11|Massa de rend. real de todos os trabalhos hab. mensal|206.080|1347352673
2016.12|Massa de rend. real de todos os trabalhos hab. mensal|207.210|1347352673
2017.01|Massa de rend. real de todos os trabalhos hab. mensal|206.897|1347352673
2017.02|Massa de rend. real de todos os trabalhos hab. mensal|206.198|1347352673
2017.03|Massa de rend. real de todos os trabalhos hab. mensal|206.458|1347352673
2017.04|Massa de rend. real de todos os trabalhos hab. mensal|206.264|1347352673
2017.05|Massa de rend. real de todos os trabalhos hab. mensal|207.071|1347352673
2017.06|Massa de rend. real de todos os trabalhos hab. mensal|207.580|1347352673
2017.07|Massa de rend. real de todos os trabalhos hab. mensal|208.555|1347352673
2017.08|Massa de rend. real de todos os trabalhos hab. mensal|209.150|1347352673
2017.09|Massa de rend. real de todos os trabalhos hab. mensal|210.753|1347352673
2017.10|Massa de rend. real de todos os trabalhos hab. mensal|212.074|1347352673
2017.11|Massa de rend. real de todos os trabalhos hab. mensal|213.779|1347352673
2017.12|Massa de rend. real de todos os trabalhos hab. mensal|214.179|1347352673
2018.01|Massa de rend. real de todos os trabalhos hab. mensal|214.002|1347352673
2018.02|Massa de rend. real de todos os trabalhos hab. mensal|213.580|1347352673
2018.03|Massa de rend. real de todos os trabalhos hab. mensal|212.365|1347352673
2018.04|Massa de rend. real de todos os trabalhos hab. mensal|213.637|1347352673
2018.05|Massa de rend. real de todos os trabalhos hab. mensal|214.132|1347352673
2018.06|Massa de rend. real de todos os trabalhos hab. mensal|214.749|1347352673
2018.07|Massa de rend. real de todos os trabalhos hab. mensal|215.058|1347352673
2018.08|Massa de rend. real de todos os trabalhos hab. mensal|216.919|1347352673
2018.09|Massa de rend. real de todos os trabalhos hab. mensal|217.297|1347352673
2018.10|Massa de rend. real de todos os trabalhos hab. mensal|218.081|1347352673
2018.11|Massa de rend. real de todos os trabalhos hab. mensal|219.140|1347352673
2018.12|Massa de rend. real de todos os trabalhos hab. mensal|220.058|1347352673
2019.01|Massa de rend. real de todos os trabalhos hab. mensal|220.306|1347352673
2019.02|Massa de rend. real de todos os trabalhos hab. mensal|220.067|1347352673
2019.03|Massa de rend. real de todos os trabalhos hab. mensal|219.211|1347352673
2019.04|Massa de rend. real de todos os trabalhos hab. mensal|219.401|1347352673
2019.05|Massa de rend. real de todos os trabalhos hab. mensal|219.131|1347352673
2019.06|Massa de rend. real de todos os trabalhos hab. mensal|219.812|1347352673
2019.07|Massa de rend. real de todos os trabalhos hab. mensal|219.775|1347352673
2019.08|Massa de rend. real de todos os trabalhos hab. mensal|220.887|1347352673
2019.09|Massa de rend. real de todos os trabalhos hab. mensal|221.257|1347352673
2019.10|Massa de rend. real de todos os trabalhos hab. mensal|223.635|1347352673
2019.11|Massa de rend. real de todos os trabalhos hab. mensal|225.605|1347352673
2019.12|Massa de rend. real de todos os trabalhos hab. mensal|225.477|1347352673
2020.01|Massa de rend. real de todos os trabalhos hab. mensal|225.240|1347352673
2020.02|Massa de rend. real de todos os trabalhos hab. mensal|224.277|1347352673
2020.03|Massa de rend. real de todos os trabalhos hab. mensal|222.505|1347352673
2020.04|Massa de rend. real de todos os trabalhos hab. mensal|217.709|1347352673
2020.05|Massa de rend. real de todos os trabalhos hab. mensal|213.000|1347352673
2020.06|Massa de rend. real de todos os trabalhos hab. mensal|210.108|1347352673
2020.07|Massa de rend. real de todos os trabalhos hab. mensal|209.419|1347352673
2020.08|Massa de rend. real de todos os trabalhos hab. mensal|208.277|1347352673
2020.09|Massa de rend. real de todos os trabalhos hab. mensal|210.312|1347352673
2020.10|Massa de rend. real de todos os trabalhos hab. mensal|211.696|1347352673
2020.11|Massa de rend. real de todos os trabalhos hab. mensal|212.229|1347352673
2020.12|Massa de rend. real de todos os trabalhos hab. mensal|210.724|1347352673
